Date,Cash,Stock Value,Option Value,Short Value,Account Value
4/26/2023,"$3,804.95","$144,837.30",$0.00,$0.00,"$148,642.25"
4/21/2023,"$3,804.95","$149,775.90",$0.00,$0.00,"$153,580.85"
4/19/2023,"$3,804.95","$155,033.35",$0.00,$0.00,"$158,838.30"
4/18/2023,"$3,804.95","$154,514.75",$0.00,$0.00,"$158,319.70"
4/15/2023,"$3,542.45","$152,615.10",$0.00,$0.00,"$156,157.55"
4/14/2023,"$3,542.45","$152,822.00",$0.00,$0.00,"$156,364.45"
4/13/2023,"$3,542.45","$150,328.44",$0.00,$0.00,"$153,870.89"
4/12/2023,"$3,542.45","$155,486.60",$0.00,$0.00,"$159,029.05"
4/11/2023,"$3,542.45","$154,356.30",$0.00,$0.00,"$157,898.75"
04/08/2023,"$3,542.45","$152,471.70",$0.00,$0.00,"$156,014.15"
04/07/2023,"$3,542.45","$152,471.70",$0.00,$0.00,"$156,014.15"
04/06/2023,"$3,542.45","$151,199.95",$0.00,$0.00,"$154,742.40"
04/05/2023,"$3,542.45","$154,535.25",$0.00,$0.00,"$158,077.70"
04/04/2023,"$3,542.45","$156,855.80",$0.00,$0.00,"$160,398.25"
04/01/2023,"$3,542.45","$154,121.37",$0.00,$0.00,"$157,663.82"
3/31/2023,"$38,940.45","$117,007.25",$0.00,$0.00,"$155,947.70"
3/30/2023,$150.45,"$157,105.80",$0.00,$0.00,"$157,256.25"
3/29/2023,$150.45,"$148,545.80",$0.00,$0.00,"$148,696.25"
3/28/2023,$150.45,"$146,655.00",$0.00,$0.00,"$146,805.45"
3/25/2023,$150.45,"$145,999.25",$0.00,$0.00,"$146,149.70"
3/24/2023,$150.45,"$148,831.15",$0.00,$0.00,"$148,981.60"
3/23/2023,"$19,440.45","$129,026.20",$0.00,$0.00,"$148,466.65"
3/22/2023,"$5,565.45","$147,120.90",$0.00,$0.00,"$152,686.35"
3/21/2023,"$5,565.45","$136,035.95",$0.00,$0.00,"$141,601.40"
3/18/2023,"$5,565.45","$142,760.25",$0.00,$0.00,"$148,325.70"
3/17/2023,"$5,565.45","$140,735.70",$0.00,$0.00,"$146,301.15"
3/16/2023,"$65,635.45","$75,454.25",$0.00,$0.00,"$141,089.70"
3/15/2023,"$17,710.45","$128,088.30",$0.00,$0.00,"$145,798.75"
3/14/2023,"$17,710.45","$128,268.10",$0.00,$0.00,"$145,978.55"
3/11/2023,"$17,710.45","$123,399.70",$0.00,$0.00,"$141,110.15"
3/10/2023,"$17,710.45","$120,637.05",$0.00,$0.00,"$138,347.50"
03/09/2023,"$17,710.45","$121,038.20",$0.00,$0.00,"$138,748.65"
03/08/2023,"$17,710.45","$121,167.65",$0.00,$0.00,"$138,878.10"
03/07/2023,"$17,710.45","$123,025.10",$0.00,$0.00,"$140,735.55"
03/04/2023,"$17,710.45","$128,161.95",$0.00,$0.00,"$145,872.40"
03/03/2023,"$17,710.45","$125,919.70",$0.00,$0.00,"$143,630.15"
03/02/2023,"$17,710.45","$127,138.40",$0.00,$0.00,"$144,848.85"
03/01/2023,"$17,710.45","$128,153.25",$0.00,$0.00,"$145,863.70"
2/28/2023,"$16,910.45","$128,698.90",$0.00,$0.00,"$145,609.35"
2/25/2023,"$56,690.95","$87,530.65",$0.00,$0.00,"$144,221.60"
2/24/2023,"$56,690.95","$89,225.90",$0.00,$0.00,"$145,916.85"
2/23/2023,"$56,690.95","$89,077.50",$0.00,$0.00,"$145,768.45"
2/22/2023,"$56,690.95","$87,986.60",$0.00,$0.00,"$144,677.55"
2/21/2023,"$56,690.95","$91,739.60",$0.00,$0.00,"$148,430.55"
2/18/2023,"$56,690.95","$91,739.60",$0.00,$0.00,"$148,430.55"
2/17/2023,"$56,690.95","$91,253.70",$0.00,$0.00,"$147,944.65"
2/16/2023,"$56,690.95","$93,359.50",$0.00,$0.00,"$150,050.45"
2/15/2023,"$56,690.95","$91,877.75",$0.00,$0.00,"$148,568.70"
2/14/2023,"$56,690.95","$92,311.58",$0.00,$0.00,"$149,002.53"
2/11/2023,"$56,690.95","$91,266.95",$0.00,$0.00,"$147,957.90"
2/10/2023,"$56,690.95","$93,532.10",$0.00,$0.00,"$150,223.05"
02/09/2023,"$56,690.95","$94,898.90",$0.00,$0.00,"$151,589.85"
02/08/2023,"$9,848.95","$144,795.95",$0.00,$0.00,"$154,644.90"
02/07/2023,"$66,889.60","$86,224.40",$0.00,$0.00,"$153,114.00"
02/04/2023,"$66,889.60","$87,079.70",$0.00,$0.00,"$153,969.30"
02/03/2023,"$39,888.10","$115,606.80",$0.00,$0.00,"$155,494.90"
02/02/2023,"$39,888.10","$113,301.10",$0.00,$0.00,"$153,189.20"
02/01/2023,"$39,888.10","$104,051.10",$0.00,$0.00,"$143,939.20"
1/31/2023,"$39,888.10","$104,051.10",$0.00,$0.00,"$143,939.20"
1/28/2023,"$39,888.10","$104,812.90",$0.00,$0.00,"$144,701.00"
1/27/2023,"$39,888.10","$103,626.90",$0.00,$0.00,"$143,515.00"
1/26/2023,"$31,826.10","$109,795.10",$0.00,$0.00,"$141,621.20"
1/25/2023,"$31,826.10","$108,906.60",$0.00,$0.00,"$140,732.70"
1/24/2023,"$31,826.10","$109,215.20",$0.00,$0.00,"$141,041.30"
1/21/2023,"$31,826.10","$105,989.20",$0.00,$0.00,"$137,815.30"
1/20/2023,"$31,826.10","$101,116.00",$0.00,$0.00,"$132,942.10"
1/19/2023,"$31,826.10","$102,395.90",$0.00,$0.00,"$134,222.00"
1/18/2023,"$31,826.10","$104,114.40",$0.00,$0.00,"$135,940.50"
1/17/2023,"$31,826.10","$104,725.20",$0.00,$0.00,"$136,551.30"
1/14/2023,"$31,826.10","$104,725.20",$0.00,$0.00,"$136,551.30"
1/13/2023,"$5,798.10","$131,420.80",$0.00,$0.00,"$137,218.90"
1/12/2023,"$5,798.10","$126,403.60",$0.00,$0.00,"$132,201.70"
1/11/2023,"$5,798.10","$120,900.70",$0.00,$0.00,"$126,698.80"
1/10/2023,"$5,798.10","$117,508.80",$0.00,$0.00,"$123,306.90"
01/07/2023,"$5,798.10","$115,815.40",$0.00,$0.00,"$121,613.50"
01/06/2023,"$18,030.60","$103,369.60",$0.00,$0.00,"$121,400.20"
01/05/2023,-$69.40,"$122,490.80",$0.00,$0.00,"$122,421.40"
01/04/2023,-$69.40,"$115,731.70",$0.00,$0.00,"$115,662.30"
01/03/2023,-$69.40,"$117,717.30",$0.00,$0.00,"$117,647.90"
12/31/2022,-$69.40,"$117,717.30",$0.00,$0.00,"$117,647.90"
12/30/2022,-$69.40,"$115,171.50",$0.00,$0.00,"$115,102.10"
12/29/2022,-$69.40,"$109,487.30",$0.00,$0.00,"$109,417.90"
12/28/2022,-$69.40,"$112,161.90",$0.00,$0.00,"$112,092.50"
12/27/2022,-$69.40,"$113,153.00",$0.00,$0.00,"$113,083.60"
12/24/2022,-$69.40,"$113,153.00",$0.00,$0.00,"$113,083.60"
12/23/2022,-$69.40,"$111,581.90",$0.00,$0.00,"$111,512.50"
12/22/2022,-$69.40,"$115,132.90",$0.00,$0.00,"$115,063.50"
12/21/2022,-$69.40,"$115,235.90",$0.00,$0.00,"$115,166.50"
12/20/2022,-$69.40,"$116,205.40",$0.00,$0.00,"$116,136.00"
12/17/2022,-$69.40,"$118,840.40",$0.00,$0.00,"$118,771.00"
12/16/2022,-$69.40,"$121,792.20",$0.00,$0.00,"$121,722.80"
12/15/2022,-$69.40,"$125,810.30",$0.00,$0.00,"$125,740.90"
12/14/2022,-$69.40,"$128,480.90",$0.00,$0.00,"$128,411.50"
12/13/2022,-$69.40,"$128,563.20",$0.00,$0.00,"$128,493.80"
12/10/2022,-$69.40,"$127,654.40",$0.00,$0.00,"$127,585.00"
12/09/2022,-$69.40,"$127,546.40",$0.00,$0.00,"$127,477.00"
12/08/2022,-$69.40,"$126,995.00",$0.00,$0.00,"$126,925.60"
12/07/2022,-$76.20,"$128,384.20",$0.00,$0.00,"$128,308.00"
12/06/2022,-$76.20,"$130,391.10",$0.00,$0.00,"$130,314.90"
12/03/2022,-$76.20,"$132,816.40",$0.00,$0.00,"$132,740.20"
12/02/2022,-$76.20,"$129,707.50",$0.00,$0.00,"$129,631.30"
12/01/2022,-$76.20,"$129,152.52",$0.00,$0.00,"$129,076.32"
11/30/2022,"-$2,522.40","$130,026.30",$0.00,$0.00,"$127,503.90"
11/29/2022,"-$2,522.40","$129,721.30",$0.00,$0.00,"$127,198.90"
11/26/2022,"-$2,522.40","$133,331.10",$0.00,$0.00,"$130,808.70"
11/25/2022,"-$2,522.40","$132,989.60",$0.00,$0.00,"$130,467.20"
11/24/2022,"-$2,522.40","$132,989.60",$0.00,$0.00,"$130,467.20"
11/23/2022,"$7,627.60","$122,496.40",$0.00,$0.00,"$130,124.00"
11/22/2022,"$7,627.60","$119,828.30",$0.00,$0.00,"$127,455.90"
11/19/2022,"$7,627.60","$121,466.00",$0.00,$0.00,"$129,093.60"
11/18/2022,"$7,627.60","$121,811.00",$0.00,$0.00,"$129,438.60"
11/17/2022,"$7,627.60","$122,890.20",$0.00,$0.00,"$130,517.80"
11/16/2022,"$7,627.60","$127,188.30",$0.00,$0.00,"$134,815.90"
11/15/2022,"$73,067.70","$61,067.90",$0.00,$0.00,"$134,135.60"
11/12/2022,"$10,930.70","$125,623.70",$0.00,$0.00,"$136,554.40"
11/11/2022,"$3,906.70","$125,101.80",$0.00,$0.00,"$129,008.50"
11/10/2022,"$21,266.70","$89,685.90",$0.00,$0.00,"$110,952.60"
11/09/2022,"$12,230.20","$101,091.50",$0.00,$0.00,"$113,321.70"
11/08/2022,"$60,620.20","$45,600.80",$0.00,$0.00,"$106,221.00"
11/05/2022,"$60,620.20","$48,017.40",$0.00,$0.00,"$108,637.60"
11/04/2022,"$60,620.20","$49,782.60",$0.00,$0.00,"$110,402.80"
11/03/2022,"$60,620.20","$49,023.50",$0.00,$0.00,"$109,643.70"
11/02/2022,"$55,720.20","$57,330.30",$0.00,$0.00,"$113,050.50"
11/01/2022,"$55,720.20","$55,875.00",$0.00,$0.00,"$111,595.20"
10/29/2022,"$55,720.20","$55,875.00",$0.00,$0.00,"$111,595.20"
10/28/2022,"$55,720.20","$55,113.00",$0.00,$0.00,"$110,833.20"
10/27/2022,"$24,240.20","$87,288.70",$0.00,$0.00,"$111,528.90"
10/26/2022,"$24,240.20","$86,553.75",$0.00,$0.00,"$110,793.95"
10/25/2022,"$24,240.20","$77,760.70",$0.00,$0.00,"$102,000.90"
10/22/2022,"$50,890.20","$54,722.30",$0.00,$0.00,"$105,612.50"
10/21/2022,"$50,890.20","$52,606.30",$0.00,$0.00,"$103,496.50"
10/20/2022,"$50,890.20","$52,878.90",$0.00,$0.00,"$103,769.10"
10/19/2022,"$50,890.20","$54,688.00",$0.00,$0.00,"$105,578.20"
10/18/2022,"$50,890.20","$54,077.20",$0.00,$0.00,"$104,967.40"
10/15/2022,"$50,890.20","$50,473.50",$0.00,$0.00,"$101,363.70"
10/14/2022,"$50,890.20","$49,268.51",$0.00,$0.00,"$100,158.71"
10/13/2022,"$100,000.00",$0.00,$0.00,$0.00,"$100,000.00"
